Local Time, Program run time, ID (hex),DLC,Data(hex)
2022-08-23 14:15:00.793611,1623.903000,4FF,6, 6A 00 66 5D 00 00
2022-08-23 14:15:00.813488,1643.780000,1FF,8, ED 01 00 00 C1 3E 00 00
2022-08-23 14:15:00.813577,1643.869000,2FF,8, FD 01 00 00 E8 03 00 00
2022-08-23 14:15:00.813680,1643.972000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.813752,1644.044000,4FF,6, 74 00 DE 5D 00 00
2022-08-23 14:15:00.833519,1663.811000,1FF,8, F5 01 00 00 04 40 00 00
2022-08-23 14:15:00.833615,1663.907000,2FF,8, 06 02 00 00 E8 03 00 00
2022-08-23 14:15:00.833742,1664.034000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.833856,1664.148000,4FF,6, 6A 00 66 5D 00 00
2022-08-23 14:15:00.853727,1684.019000,1FF,8, FE 01 00 00 A3 44 00 00
2022-08-23 14:15:00.853801,1684.093000,2FF,8, 0F 02 00 00 E8 03 00 00
2022-08-23 14:15:00.853987,1684.279000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.854025,1684.317000,4FF,6, 65 00 66 5D 00 00
2022-08-23 14:15:00.873778,1704.070000,1FF,8, 07 02 00 00 FD 46 00 00
2022-08-23 14:15:00.873878,1704.170000,2FF,8, 18 02 00 00 E8 03 00 00
2022-08-23 14:15:00.874021,1704.313000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.874113,1704.405000,4FF,6, 6A 00 BC 5C 00 00
2022-08-23 14:15:00.894014,1724.306000,1FF,8, 0F 02 00 00 3D 47 00 00
2022-08-23 14:15:00.894108,1724.400000,2FF,8, 21 02 00 00 E8 03 00 00
2022-08-23 14:15:00.894213,1724.505000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.894318,1724.610000,4FF,6, 6A 00 52 5D 00 00
2022-08-23 14:15:00.914241,1744.533000,1FF,8, 18 02 00 00 03 4A 00 00
2022-08-23 14:15:00.914358,1744.650000,2FF,8, 29 02 00 00 E8 03 00 00
2022-08-23 14:15:00.914381,1744.673000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.914533,1744.825000,4FF,6, 6F 00 B6 5D 00 00
2022-08-23 14:15:00.934593,1764.885000,1FF,8, 20 02 00 00 1D 4C 00 00
2022-08-23 14:15:00.934737,1765.029000,2FF,8, 32 02 00 00 E8 03 00 00
2022-08-23 14:15:00.934764,1765.056000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.934846,1765.138000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:15:00.954733,1785.025000,1FF,8, 29 02 00 00 36 4E 00 00
2022-08-23 14:15:00.954895,1785.187000,2FF,8, 3B 02 00 00 E8 03 00 00
2022-08-23 14:15:00.954960,1785.252000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.955045,1785.337000,4FF,6, 6A 00 66 5D 00 00
2022-08-23 14:15:00.974815,1805.107000,1FF,8, 32 02 00 00 A2 4E 00 00
2022-08-23 14:15:00.974922,1805.214000,2FF,8, 44 02 00 00 E8 03 00 00
